[2026-05-12 20:44:51,620] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 32837.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:44:52,644] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 32837.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:44:53,619] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 32120.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:44:54,643] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 32120.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:44:55,667] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 32120.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:44:56,642] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 32339.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:44:57,665] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 32339.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:44:58,640] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 32339.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:44:59,664] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 32512.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:00,688] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 32512.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:01,663] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 32512.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:02,687] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 32711.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:03,662] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 32711.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:04,685] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 32711.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:05,709] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 32711.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:06,684] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 32837.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:07,708] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 32837.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:08,732] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 32837.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:09,707] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 33015.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:10,731] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 33015.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:11,706] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 33015.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:12,729] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 33169.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:13,753] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 33169.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:14,728] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 33169.0 Ω | Previsão Nicla: fresca
