[2026-05-12 20:58:55,266] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 178833.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:58:56,289] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 178833.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:58:57,313] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 136170.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:58:58,288] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 136170.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:58:59,312] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 136170.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:00,336] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 102666.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:01,311] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 102666.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:02,334] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 102666.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:03,309] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 75227.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:04,333] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 75227.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:05,357] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 75227.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:06,332] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 75227.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:07,356] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 57411.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:08,379] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 57411.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:09,354] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 57411.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:10,378] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 42996.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:11,353] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 42996.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:12,377] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 42996.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:13,401] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 36301.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:14,376] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 36301.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:15,399] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 36301.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:16,374] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 34482.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:17,398] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 34482.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:18,422] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 34482.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:19,397] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32561.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:20,421] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32561.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:21,396] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32561.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:22,419] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 30843.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:23,443] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 30843.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:24,418] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 30843.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:25,442] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 30360.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:26,417] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 30360.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:27,441] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 30360.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:28,465] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 29829.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:29,440] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 29829.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:30,463] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 29829.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:31,487] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 29398.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:32,462] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 29398.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:33,486] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 29398.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:34,461] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 29398.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:35,485] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 28959.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:36,508] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 28959.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:37,483] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 28959.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:38,507] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 29277.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:39,531] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 29277.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:40,506] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 29277.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:41,530] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 29602.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:42,505] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 29602.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:43,528] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 29602.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:44,552] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 29871.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:45,527] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 29871.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:46,551] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 29871.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:47,526] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 30188.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:48,550] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 30188.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:49,573] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 30188.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:50,548] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 30360.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:51,572] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 30360.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:52,547] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 30360.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:59:53,571] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 30644.0 Ω | Previsão Nicla: fresca
